Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,1191.500000,1191.500000,1165.949951,1168.349976,1168.349976,6248975
2018-08-03,1175.000000,1183.500000,1169.550049,1176.949951,1176.949951,6645397
2018-08-06,1176.699951,1196.000000,1175.349976,1192.599976,1192.599976,4016418
2018-08-07,1194.900024,1201.400024,1177.000000,1184.199951,1184.199951,4059460
2018-08-08,1185.000000,1222.500000,1185.000000,1217.699951,1217.699951,7912437
2018-08-09,1221.500000,1231.699951,1212.000000,1217.949951,1217.949951,6846928
2018-08-10,1211.000000,1215.000000,1202.300049,1204.199951,1204.199951,3581210
2018-08-13,1197.550049,1199.949951,1182.699951,1187.699951,1187.699951,4668159
2018-08-14,1190.000000,1217.199951,1184.300049,1210.599976,1210.599976,5299536
2018-08-16,1203.250000,1216.000000,1195.500000,1200.800049,1200.800049,5982490
2018-08-17,1209.000000,1215.400024,1200.050049,1203.750000,1203.750000,3830992
2018-08-20,1207.900024,1236.800049,1207.650024,1234.900024,1234.900024,7607036
2018-08-21,1237.250000,1251.500000,1227.000000,1247.199951,1247.199951,7279641
2018-08-23,1246.300049,1274.000000,1238.400024,1269.449951,1269.449951,7968123
2018-08-24,1265.250000,1279.949951,1260.050049,1277.500000,1277.500000,6652005
2018-08-27,1279.400024,1295.849976,1278.750000,1291.500000,1291.500000,5572177
2018-08-28,1296.000000,1323.000000,1295.000000,1319.000000,1319.000000,8694751
2018-08-29,1316.300049,1329.000000,1290.199951,1294.199951,1294.199951,11077203
2018-08-30,1293.599976,1297.150024,1270.449951,1274.449951,1274.449951,9850042
2018-08-31,1270.000000,1270.000000,1236.599976,1241.650024,1241.650024,15305857
2018-09-03,1245.000000,1257.900024,1226.050049,1229.150024,1229.150024,12200022
2018-09-04,1235.150024,1254.800049,1229.000000,1241.949951,1241.949951,8838770
2018-09-05,1242.500000,1252.650024,1208.500000,1227.000000,1227.000000,10324923
2018-09-06,1230.150024,1265.699951,1225.349976,1261.400024,1261.400024,11195043
2018-09-07,1264.900024,1281.349976,1254.500000,1278.599976,1278.599976,10692787
2018-09-10,1275.000000,1277.000000,1250.099976,1255.849976,1255.849976,7059008
2018-09-11,1259.000000,1268.400024,1234.250000,1237.699951,1237.699951,10874768
2018-09-12,1251.800049,1258.699951,1228.849976,1252.500000,1252.500000,8065553
2018-09-14,1259.400024,1275.599976,1247.650024,1253.150024,1253.150024,7878583
2018-09-17,1250.750000,1250.750000,1221.599976,1225.900024,1225.900024,6754086
2018-09-18,1226.000000,1239.400024,1214.349976,1217.150024,1217.150024,7616412
2018-09-19,1224.000000,1224.000000,1201.000000,1210.750000,1210.750000,11265786
2018-09-21,1219.000000,1237.400024,1183.500000,1217.500000,1217.500000,19070172
2018-09-24,1214.449951,1239.900024,1204.500000,1232.050049,1232.050049,10102589
2018-09-25,1235.500000,1245.000000,1195.000000,1230.599976,1230.599976,9715020
2018-09-26,1239.000000,1253.949951,1227.150024,1251.400024,1251.400024,6396828
2018-09-27,1255.000000,1263.000000,1237.500000,1253.750000,1253.750000,10808749
2018-09-28,1259.900024,1271.699951,1247.300049,1257.949951,1257.949951,11073023
2018-10-01,1257.699951,1257.699951,1204.000000,1231.699951,1231.699951,7332693
